MAC,ssid,lat,lon
00:00:EB:B6:03:87,wifine,,
00:00:EB:B8:83:C7,wifine,,
00:00:EB:B8:C3:07,wifine,,
00:00:EB:B8:C3:87,wifine,,
00:00:EB:B8:C3:C7,wifine,,
00:00:EB:B9:03:07,wifine,,
00:00:EB:B9:03:27,wifine,,
00:00:EB:B9:03:C7,wifine,,
00:00:EB:B9:03:E7,wifine,,
00:00:EB:B9:43:07,wifine,,
00:00:EB:B9:43:17,wifine,,
00:00:EB:B9:43:47,wifine,,
00:00:EB:B9:43:57,wifine,,
00:00:EB:B9:43:A7,wifine,,
00:00:EB:B9:83:07,wifine,,
00:00:EB:B9:83:47,wifine,,
00:00:EB:B9:83:87,wifine,,
00:00:EB:B9:83:97,wifine,,
00:00:EB:B9:83:C7,wifine,,
00:00:EB:B9:83:E7,wifine,,
00:00:EB:B9:C3:07,wifine,,
00:00:EB:B9:C3:27,wifine,,
00:00:EB:B9:C3:47,wifine,,
00:00:EB:BA:03:67,wifine,,
00:00:EB:BA:03:87,wifine,,
00:00:EB:BA:03:C7,wifine,,
00:00:EB:BA:03:E7,wifine,,
00:00:EB:BA:43:67,wifine,,
00:00:EB:BA:43:A7,wifine,,
00:00:EB:BA:83:07,wifine,,
00:00:EB:BA:83:27,wifine,,
00:00:EB:BA:83:67,wifine,,
00:00:EB:BA:83:A7,wifine,,
00:00:EB:BA:83:C7,wifine,,
00:00:EB:BA:C3:07,wifine,,
00:00:EB:BA:C3:27,wifine,,
00:00:EB:BA:C3:47,wifine,,
00:00:EB:BA:C3:67,wifine,,
00:00:EB:BA:C3:A7,wifine,,
00:00:EB:BA:C3:C7,wifine,,
00:00:EB:BA:C3:E7,wifine,,
00:00:EB:BB:43:67,wifine,,
00:00:EB:BB:43:87,wifine,,
00:00:EB:BB:43:A7,wifine,,
00:00:EB:BB:83:07,wifine,,
00:00:EB:BB:83:47,wifine,,
00:00:EB:BB:83:A7,wifine,,
00:00:EB:BB:83:B7,wifine,,
00:00:EB:BB:83:E7,wifine,,
00:00:EB:BD:03:47,wifine,,
00:00:EB:BD:03:67,wifine,,
00:00:EB:BD:83:07,wifine,,
00:00:EB:BE:83:67,wifine,,
00:00:EB:BE:83:C7,wifine,,
00:00:EB:BE:83:D7,wifine,,
00:00:EB:BE:C3:87,wifine,,
00:00:EB:BE:C3:97,wifine,,
00:00:EB:C9:43:E7,wifine,,
00:00:EB:C9:C3:27,wifine,,
00:00:EB:CF:83:87,wifine,,
